Name,SMILES,Lmax
217,CCC(c1c2c(ccc1C(CC)(C)C)oc1c(c2=O)cccc1)(C)C,308.0
218,O=c1oc2ccccc2cc1C(=O)c1ccccc1,309.5
219,COC(=O)c1ccccc1C(=O)OC,245.8
220,COC(=O)c1cc(ccc1C(=O)OC)C(=O)OC,252.5
221,c1ccc2c(c1)oc1c2cccc1,262.8
222,Clc1ccccc1c1ccccc1,241.9
224,Brc1ccc(cc1)c1ccc(cc1)Br,256.7
225,Brc1ccc2c(c1)Cc1c2ccc(c1)Br,273.3
226,c1ccc(cc1)C#Cc1ccccc1,241.4
227,c1ccc2c(n1)c1ncccc1cc2,286.0
228,c1ccc2c(c1)cnc1c2cccc1,288.6
229,Brc1ccccc1c1ccc(cc1)c1ccccc1,254.2
230,CCOC(=O)c1ccc2c(c1)cccc2,292.8
231,N#Cc1cc2ccccc2c2c1cccc2,300.3
232,CCOC(=O)c1cccc2c1cccc2,296.1
233,N#Cc1cccc2c1cccc2,293.5
234,c1ccc(cc1)c1ncc(o1)c1ccccc1,292.6
235,c1ccc2c(c1)c1cccc3c1c2ccc3,336.6
236,Cc1cc(C)c(c(c1)C)Nc1c(cc2c3c1cccc3c(=O)n(c2=O)c1c(C)cc(cc1C)C)[N+](=O)[O-],348.2
237,CC(c1cccc(c1Nc1c2cccc3c2c(cc1[N+](=O)[O-])c(=O)n(c3=O)c1c(cccc1C(C)C)C(C)C)C(C)C)C,346.6
238,CNc1c2cccc3c2c(cc1[N+](=O)[O-])c(=O)n(c3=O)C,342.6
239,[O-][N+](=O)c1cc2c3c(c1NC(C)(C)C)cccc3c(=O)n(c2=O)C(C)(C)C,347.4
241,O=c1cc[nH]c2c1cccc2,289.6
243,CCOC(=O)c1c[nH]c2c(c1=O)cc(cc2[N+](=O)[O-])F,331.3
244,Brc1nc2cscc2nc1Br,331.0
246,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)N1CNc2c1[nH]cnc2=O,276.6
247,N#CC(=Cc1ccc(s1)c1ccc(s1)c1ccc(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)C(=O)O,413.6
248,Cc1cc(sc1c1ccc(s1)c1sc(cc1C)C=C(C(=O)O)C#N)c1ccc(cc1)N(c1ccccc1)c1ccccc1,397.1
249,OCCC(=C(N(Cc1cnc(nc1N)C)C=O)C)SSCCC,256.3
251,Cc1ccc(cc1)C(C)(C)C,235.5
252,CC(c1ccc(cc1)N)C,259.3
253,CN(CCn1c(=O)c2c(c1=O)c1c(c(c2)C)[nH]c2c1cc(O)cc2C)C,343.1
254,c1ccc(cc1)C(=C(c1ccccc1)c1ccccc1)c1ccccc1,298.4
256,COc1nc(nc(n1)C)NC(=O)NS(=O)(=O)c1ccsc1C(=O)OC,249.3
257,CO[C@@H]1[C@H](O)[C@H](O[C@H]1n1ccc(nc1=O)N)COP(=O)(O)O,241.3
258,O=C1CC=C2C(=C1)Oc1c(C2)c2Cc2cc1,313.6
259,Oc1ccc(c2c1C(=O)c1c(C2=O)c(O)ccc1N)NC(=O)c1ccccc1,453.0
260,N[C@@H]1CC(C)(C)Cc2c1nc(o2)c1ccccc1,265.4
261,C[C@H](CNc1ncnc2c1c(c1ccccc1)c([nH]2)c1ccccc1)O,286.5
262,OC[C@@H](CNc1ncnc2c1c(c1ccccc1)c([nH]2)c1ccccc1)O,284.8
263,COC(=O)c1c(C(=O)OC)c2n(c1C)nc(cc2)C,336.0
264,COC(=O)c1c(C(=O)OC)c2n(c1CC)nc(cc2)c1ccccc1,338.6
265,COc1cc(OC)cc2c1cc(c1ccccc1)c(=O)o2,301.7
266,COc1ccc2c(c1)oc(=O)c(c2)c1cscc1,304.6
267,N=C1Cc2ccccc2OC1=O,282.8
270,SCCC(=O)Nc1ccc2c(c1)c(ncn2)Nc1ccccc1,307.5
271,O=C1c2ccccc2c2c3c1cccc3ccc2,338.5
273,CC(C1(C)N=C(NC1=O)c1nc2ccccc2cc1C(=O)O)C,288.5
274,c1ccc(cc1)B1C=CC(C1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,274.0
277,N#CC(=C(c1ccccc1)C=Cc1cc2c3ccccc3n(c2cc1OC)C)C#N,356.9
278,N#CC(=Cc1cc2c(cc1OC)n(c1c2cccc1)C)c1nc2c(s1)cccc2,344.0
280,COc1ccc2c(c1c1c(OC)ccc3c1ccc(c3)C(C)(C)C)ccc(c2)C(C)(C)C,301.9
281,c1cc2cccc3c2c(c1)c1cccc2c1c3ccc2,387.6
282,O=C(Cc1cccc2c1cccc2)NC1CC(C)(C)NC(C1)(C)C,290.5
284,CCN(C(=O)[C@H]1CN(C)[C@H]2C(=C1)c1cccc3c1c(C2)c[nH]3)CC,288.7
285,OC(=O)[C@H]1O[C@@H](Oc2cc(O)c3c(c2)oc(cc3=O)c2ccc(c(c2)O)O)[C@@H]([C@H]([C@@H]1O)O)O,283.5
286,OC(=O)C=Cc1ccc(c(c1)O)O,277.8
287,OC(=O)C(C(C(=O)C=Cc1ccc(cc1)O)(C(=O)O)O)O,287.4
288,O=C(O[C@@H](C(=O)O)Cc1ccc(c(c1)O)O)C=Cc1ccc(c(c1)O)O,278.0
289,c1ccc(cc1)c1nc(nnc1c1ccccc1)c1ccc(cc1)c1nnc(c(n1)c1ccccc1)c1ccccc1,398.8
290,c1ccc2c(c1)oc(n2)c1ccc(cc1)c1nc2c([nH]1)c1ccccc1c1c2cccc1,324.7
291,c1ccc(cc1)c1[nH]c(nc1c1ccccc1)c1ccc(cc1)c1nc2c(o1)cccc2,317.5
292,c1ccc(cc1)C=Cc1nc2c([nH]1)c1ccccc1c1c2cccc1,313.1
293,Nc1ccc(cc1)C(=O)c1ccccc1,298.6
295,CC(=O)CC(c1c(O)oc2c(c1=O)cccc2)c1ccccc1,277.7
296,O=C1OC(=O)C(=C1c1c(C)sc2c1cccc2)c1c(C)sc2c1cccc2,351.6
297,O=C1NC(=O)C(=C1c1c(C)sc2c1cccc2)c1c(C)sc2c1cccc2,356.6
298,O=C1N(C)C(=O)C(=C1c1c(C)sc2c1cccc2)c1c(C)sc2c1cccc2,362.8
299,Cc1sc2c(c1C1=C(C(=O)NC1=O)c1c(C)sc3c1cccc3)cccc2,356.8
300,O=C1C(=C(C(=O)N1C)c1c(C)sc2c1cccc2)c1c(C)[nH]c2c1cccc2,375.4
301,CCCn1c(C)c(c2c1cccc2)C1=C(C(=O)N(C1=O)C)c1c(C)sc2c1cccc2,382.8
302,COc1ccc2c(c1)ccc(c2)C=Cc1ccnc(n1)c1ccccc1,313.3
305,SC[C@H](C(=O)NCC(=O)O)Cc1ccccc1,231.6
307,C(CCn1c(=O)c2c(c1c1cccs1)c(=O)n(c2c1cccs1)C(C)CC)CC,419.5
308,Cn1c(=O)c2c(c1c1ccc(s1)c1ccc(cc1)OC)c(=O)n(c2c1ccc(s1)c1ccc(cc1)OC)C,466.9
309,C(CCn1c(=O)c2c(c1c1ccc(s1)c1ccc(cc1)OC)c(=O)n(c2c1ccc(s1)c1ccc(cc1)OC)C(C)CC)CC,446.8
311,Nc1nc(=O)c2c([nH]1)n(C(P(=O)(O)O)(F)F)cn2,249.7
312,O=c1ccc2c([nH]1)cccc2,285.4
313,c1ccc(cc1)c1ccc2c(c1)cc1c(c2)cccc1,359.6
314,CC1(C)c2cc3cc4ccccc4cc3cc2c2c1cccc2,363.3
315,c1ccc2c(c1)cc1c(c2)cc2c(c1)c1ccccc1o2,377.8
316,c1ccc2c(c1)cc1c(c2)cc2c(c1)c1ccccc1s2,388.3
317,CCCc1ccc2c(c1)c1cc3cc4ccccc4cc3cc1n2CC,403.3
318,CCOC(=O)c1ccn2c(c1)nc1c2cccc1,341.4
319,CCOC(=O)c1cc2nc3c(n2cc1C)cccc3,346.6
320,CCOC(=O)c1ccn2c(c1C)nc1c2cccc1,335.5
321,CCOC(=O)c1c(C)cn2c(c1C)nc1c2cccc1,327.6
322,CCOC(=O)c1ccn2c(c1c1ccccc1)nc1c2cccc1,337.5
323,CCOC(=O)c1c(C)cn2c(c1c1ccccc1)nc1c2cccc1,329.3
324,CCOC(=O)c1ccn2c(c1C)nc1c2cc(c(c1)C)C,337.6
325,CCOC(=O)c1c(C)cn2c(c1C)nc1c2cc(c(c1)C)C,327.8
326,CCOC(=O)c1ccn2c(c1c1ccccc1)nc1c2cc(c(c1)C)C,339.1
327,CCOC(=O)c1c(C)cn2c(c1c1ccccc1)nc1c2cc(c(c1)C)C,331.5
330,Fc1c[nH]c(=O)[nH]c1=O,235.2
332,Cc1cc(O)c2c(c1)C(=O)c1c(C2=O)c(O)cc(c1)O,363.6
333,c1ccc2c(c1)Cc1c2c2Cc3c(c2c2c1c1ccccc1C2)cccc3,278.7
334,CCN(c1ccc2c(c1)oc(=O)c(c2)c1nc2c(s1)cccc2)CC,344.4
335,N#CCc1ccccc1,230.4
336,O=C1c2ccccc2C(=O)c2c1ccc(c2O)O,350.3
337,Oc1c(O)cc(c2c1C(=O)c1ccccc1C2=O)O,385.3
338,CCOc1ccc2c(c1O)C(=O)c1c(C2=O)cccc1,351.2
339,Oc1c(OCc2ccccc2)ccc2c1C(=O)c1ccccc1C2=O,350.6
340,O=C1c2c(OCc3ccccc3)c(OCc3ccccc3)ccc2C(=O)c2c1cccc2,360.8
341,COC(=O)CCCOc1ccc2c(c1O)C(=O)c1c(C2=O)cccc1,348.6
342,Oc1c(OCc2ccccc2)cc(c2c1C(=O)c1ccccc1C2=O)O,391.7
343,O=C1c2c(OCc3ccccc3)c(OCc3ccccc3)cc(c2C(=O)c2c1cccc2)O,367.6
344,COC(=O)CCCOc1cc(O)c2c(c1O)C(=O)c1c(C2=O)cccc1,388.9
345,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ccnc2N,254.9
346,O=C(Nc1cccc2c1cc1ccccc1c2)Nc1ccccc1,363.9
347,O=C(Nc1ccc2c(c1)cc1c(c2)cccc1)Nc1ccccc1,360.0
348,OCCNc1cccc2c1cccc2,297.0
349,c1ccc(cc1)c1[nH]c(nc1c1ccccc1)c1ccc(s1)c1nc(c([nH]1)c1ccccc1)c1ccccc1,348.7
350,Cn1c(nc(c1c1ccccc1)c1ccccc1)c1ccc(s1)c1nc(c(n1C)c1ccccc1)c1ccccc1,325.2
351,c1ccc(cc1)c1nc(c([nH]1)c1ccccc1)c1ccccc1,281.3
352,CCN(S(=O)(=O)c1ccc(cc1[N+](=O)[O-])Cl)c1ccccc1,312.1
353,OC(=O)c1ccc2c3c1ccc1c3c(cc2)ccc1,338.1
354,OCc1ccc2c3c1ccc1c3c(cc2)ccc1,331.9
357,CCOC(=O)c1ccccc1C(=O)OCC,246.8
358,Clc1ccc(c(c1)Cl)N,267.7
359,Nc1ccc(c(c1)Cl)Br,270.3
363,CC(c1cccc(c1O)C(C)(C)C)(C)C,243.5
364,Cc1cccc2c1c(C)c1c(n2)c2ccccc2cc1,341.4
365,OC(=O)c1cscc1,230.3
367,OC(=O)CC[C@@H](C(=O)O)NCc1c(cnc(c1O)C)COP(=O)(O)O,246.7
368,N#CC(=C1C=C(C=Cc2ccc(cc2)N(C)C)OC(=C1)C=Cc1ccc(cc1)N(C)C)C(=O)O,364.7
369,N#CC(=C1C=C(C=Cc2ccc(cc2)N(c2ccccc2)c2ccccc2)OC(=C1)C=Cc1ccc(cc1)N(c1ccccc1)c1ccccc1)C(=O)O,376.0
370,O=C(c1ccc2c(c1)c(=O)c1c(o2)cccc1)c1ccccc1,301.8
371,COc1ccc(c(c1)O)C=Nc1ccccc1,295.4
372,C(COc1cc(C=Cc2ccc(cc2)N(C)C)c(cc1C=Cc1ccc(cc1)N(C)C)OCC(C)CC)CC,362.5
373,C(COc1cc(C=Cc2ccc(cc2)OC)c(cc1C=Cc1ccc(cc1)OC)OCC(C)CC)CC,351.3
374,C(COc1cc(C=Cc2ccc(cc2)C)c(cc1C=Cc1ccc(cc1)C)OCC(C)CC)CC,347.4
375,C(COc1cc(C=Cc2ccc(cc2)Cl)c(cc1C=Cc1ccc(cc1)Cl)OCC(C)CC)CC,364.7
376,C(COc1cc(C=Cc2ccc(cc2)C#N)c(cc1C=Cc1ccc(cc1)C#N)OCC(C)CC)CC,359.5
377,C(COc1cc(C=Cc2ccc(cc2)[N+](=O)[O-])c(cc1C=Cc1ccc(cc1)[N+](=O)[O-])OCC(C)CC)CC,389.6
378,Nc1ccc(cc1)S(=O)(=O)Nc1noc(c1)C,256.3
379,Cn1cnc2c1c(=O)n(c(=O)[nH]2)C,242.9
381,Clc1ccc(cc1)C(=O)NCCc1ccc(cc1)OC(C(=O)O)(C)C,248.2
382,CNCCC(c1ccccc1)Oc1ccc(cc1)C(F)(F)F,239.5
384,Cc1ccc(c(c1)OC(C(=O)O)(C)C)C,241.1
385,CC(Cc1ccc(cc1)C(C(=O)O)C)C,236.1
386,COc1ccc2c(c1)ccc(c2)C(C(=O)O)C,289.9
388,OC(=O)C(Oc1ccc(cc1)Cl)(C)C,244.3
389,CNC(=C[N+](=O)[O-])NCCSCc1ccc(o1)CN(C)C,295.5
